AgencyName,OrganizationName,PositionTitle,PositionStatus,AppointmentTypeDescription,ExpirationDate,LevelGradePay,Location,IncumbentFirstName,IncumbentLastName,PaymentPlanDescription,Tenure,IncumbentBeginDate,IncumbentVacateDate
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ASSISTANT ADMINISTRATOR, ENVIRONMENTAL PLANNING AND HISTORIC PRESERVATION",Filled,CA,,"$199,699","Washington, DC",DONNA,DEFRANCESCO,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ASSISTANT ADMINISTRATOR, FIELD OPERATIONS DIRECTORATE",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ASSISTANT ADMINISTRATOR, FIELD OPERATIONS DIRECTORATE",Filled,CA,,,"Washington, DC",LEILONI,STAINSBY,ES,,1/2/2022 12:00:00 AM,6/6/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ASSISTANT ADMINISTRATOR, GRANTS PROGRAMS",Vacant,PA,,IV,"Washington, DC",,,EX,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ASSISTANT ADMINISTRATOR, LOGISTICS ",Filled,CA,,"$225,700","Washington, DC",JEFFREY,DORKO,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ASSISTANT ADMINISTRATOR, RESILENCE BUSINESS OPERATIONS",Filled,CA,,"$222,705","Washington, DC",LESTER,INGOL,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ASSOCIATE ADMINISTRATOR FOR POLICY, PROGRAM ANALYSIS, AND INTERNATIONAL AFFAIRS",Filled,CA,,"$225,700","Washington, DC",CYNTHIA,SPISHAK,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSOCIATE ADMINISTRATOR FOR RESILIENCE,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSOCIATE ADMINISTRATOR FOR RESPONSE AND RECOVERY,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSOCIATE ADMINISTRATOR FOR RESPONSE AND RECOVERY,Filled,NA,,,"Washington, DC",CAMERON,HAMILTON,ES,,1/20/2025 12:00:00 AM,5/13/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSOCIATE ADMINISTRATOR FOR THE OFFICE OF NATIONAL CONTINUITY PROGRAMS,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ASSOCIATE ADMINISTRATOR, EXTERNAL AFFAIRS",Filled,NA,,,"Washington, DC",GEOFF,HARBAUGH,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ASSOCIATE ADMINISTRATOR, MISSION SUPPORT",Filled,CA,,"$225,700","Washington, DC",ERIC,LECKEY,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,CHIEF COUNSEL,Filled,CA,,"$225,700","Washington, DC",ADRIAN,SEVIER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,CHIEF FINANCIAL OFFICER,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,CHIEF FINANCIAL OFFICER,Filled,CA,,,"Washington, DC",MARY,COMANS,ES,,1/21/2018 12:00:00 AM,2/11/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,CHIEF HUMAN CAPITAL OFFICER,Filled,CA,,"$197,497","Washington, DC",LATOYA,PRIEUR,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,CHIEF INFORMATION OFFICER,Filled,CA,,"$225,700","Washington, DC",CHARLES,ARMSTRONG,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,CHIEF OF STAFF,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,CHIEF TECHNOLOGY OFFICER,Filled,CA,,"$210,000","Washington, DC",DIEGO,LAPIDUZ,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY ADMINISTRATOR FOR FEDERAL EMERGENCY MANAGEMENT AGENCY,Filled,PAS,,III,"Washington, DC",MARYANN,TIERNEY,EX,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY ADMINISTRATOR FOR RESILIENCE,Filled,PAS,,III,"Washington, DC",CHRISTOPHER,LOGAN,EX,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DEPUTY ADMINISTRATOR, U.S. FIRE ADMINISTRATION",Filled,CA,,"$193,819","EMMITSBURG, MD",DONNA,BLACK,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY ASSISTANT ADMINISTRATOR FOR HAZARD MITIGATION,Filled,CA,,"$25,700","Washington, DC",JOEL,DOOLIN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY ASSISTANT ADMINISTRATOR FOR LOGISTICS OPERATIONS,Filled,CA,,"$203,777","Washington, DC",JULIA,MOLINE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY ASSISTANT ADMINISTRATOR FOR MITIGATION,Filled,CA,,"$225,700","Washington, DC",ERIC,LETVIN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY ASSISTANT ADMINISTRATOR FOR RECOVERY,Filled,CA,,"$220,010","Washington, DC",PAUL,JUDSON,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY ASSISTANT ADMINISTRATOR FOR RESPONSE,Filled,CA,,"$218,294","Washington, DC","HARRY ",HITT,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DEPUTY ASSISTANT ADMINISTRATOR, FIELD OPERATIONS DIRECTORATE",Filled,CA,,"$213,938","Washington, DC",ROBERT,SULLIVAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DEPUTY ASSISTANT ADMINISTRATOR, LOGISTICS SUPPORT",Filled,CA,,"$225,700","Washington, DC",CARLA,GAMMON,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DEPUTY ASSISTANT ADMINISTRATOR, NATIONAL PREPAREDNESS DIRECTORATE",Filled,CA,,"$218,471","Washington, DC",ANTHONY,ANTOGNOLI,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DEPUTY ASSOCIATE ADMINISTRATOR FOR POLICY, PROGRAM ANALYSIS AND INTERNATIONAL AFFAIRS",Filled,CA,,"$225,300","Washington, DC",STEPHANIE,DOBITSCH,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY ASSOCIATE ADMINISTRATOR FOR RESPONSE AND RECOVERY,Filled,CA,,"$225,700","Washington, DC",KEITH,TURI,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DEPUTY ASSOCIATE ADMINISTRATOR, NATIONAL CONTINUITY PROGRAMS",Filled,CA,,"$201,495","Washington, DC",THOMAS,BRESLIN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY CHIEF FINANCIAL OFFICER,Filled,CA,,"$225,700","Washington, DC",MONROE,NEAL,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY CHIEF HUMAN CAPITAL OFFICER FOR HUMAN RESOURCE OPERATIONS,Filled,CA,,"$209,976","Washington, DC",ELIZABETH,HOUGH,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY CHIEF INFORMATION OFFICER FOR INSTRASTRUCTURE AND OPERATIONS,Filled,CA,,"$225,700","Washington, DC",KEVIN,COX,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY CHIEF INFORMATION OFFICER FOR MANAGEMENT,Filled,CA,,"$224,445","Washington, DC",MICHAEL,BOWMAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DEPUTY CHIEF OF STAFF,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,DIRECTOR OF HERMIT&rsquo;S PEAK CLAIMS OFFICE,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DIRECTOR, CENTER FOR FAITH-BASED AND NEIGHBORHOOD PARTNERSHIPS",Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DIRECTOR, CONTINUITY DIVISION",Filled,CA,,"$201,495","Washington, DC",JOSEPH,COUCH,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DIRECTOR, INTERAGENCY COORDINATION DIVISION",Filled,CA,,"$206,700","Washington, DC",GRACE,LEE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DIRECTOR, LAW ENFORCEMENT ENGAGEMENT AND INTEGRATION",Filled,CA,,"$194,602","Washington, DC",PERRY,TARRANT,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DIRECTOR, NATIONAL EXERCISES AND TECHNOLOGICAL HAZARDS",Filled,CA,,"$204,236","Washington, DC",DAVID,GUDINAS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"DIRECTOR, OFFICE NATIONAL CAPITAL REGION COORDINATION",Filled,CA,,"$225,700","Washington, DC",JENNIFER,HIGGINS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"EXECUTIVE ADMINISTRATOR, MOUNT WEATHER EMERGENCY OPERATIONS CENTER",Filled,CA,,"$203,414","BLUEMONT, VA",DONALD,ROTH,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"FEDERAL DISASTER RECOVERY COORDINATOR, SAN JUAN, PR",Filled,CA,,,"SAN JUAN, Puerto Rico",JOSE,BAQUERO,ES,,8/31/2020 12:00:00 AM,2/8/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,NATIONAL INCIDENT MANAGEMENT ASSISTANCE TEAM LEADER  (CENTRAL),Filled,CA,,"$204,236","Washington, DC",GERARD,STOLAR,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,NATIONAL INCIDENT MANAGEMENT ASSISTANCE TEAM LEADER (NON-STAFFORD),Filled,CA,,"$217,993","Washington, DC",JORDAN,NELMS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"NATIONAL INCIDENT MANAGEMENT ASSISTANCE TEAM LEADER, EAST",Filled,CA,,"$198,907","HERNDON, VA",RODRIGUS,MCALLISTER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"NATIONAL INCIDENT MANAGEMENT ASSISTANCE TEAM LEADER, WEST",Vacant,TA,,,"SACRAMENTO, CA",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,PRINCIPAL DEPUTY CHIEF COUNSEL,Filled,CA,,"$225,700","Washington, DC",MICHAEL,CAMERON,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION I",Filled,NA,,,"BOSTON, MA","FREDERICK ",DOUCETTE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION II",Vacant,NA,,,"NEW YORK, NY",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION III",Vacant,CA,,,"PHILADELPHIA, PA",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION III",Filled,CA,,,"PHILADELPHIA, PA",MARYANN,TIERNEY,ES,,8/30/2010 12:00:00 AM,6/13/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION IV",Filled,CA,,"$225,700","ATLANTA, GA",ROBERT,SAMAAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION IX",Filled,CA,,"$225,700","SAN FRANCISCO, CA",ROBERT,FENTON,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION V",Vacant,NA,,,"CHICAGO, IL",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION VI",Filled,CA,,"$225,700","DENTON, TX",GEORGE,ROBINSON,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION VII",Vacant,NA,,,"KANSAS CITY, MO",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION VIII",Vacant,NA,,,"DENVER, CO",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"REGIONAL ADMINISTRATOR, REGION X",Vacant,NA,,,"SEATTLE, WA",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,SENIOR ADVISOR,Filled,CA,,"$158,500","Washington, DC",KAREN,EVANS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,SPECIAL ASSISTANT,Filled,SC,,11,"Washington, DC","  ZACHARIAH ",HOAG,GS,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"SUPERINTENDENT, CENTER FOR DOMESTIC PREPAREDNESS",Filled,CA,,"$225,700","Washington, DC",ANTHONY,RUSSELL,ES,,6/10/2018 12:00:00 AM,1/25/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"SUPERINTENDENT, CENTER FOR DOMESTIC PREPAREDNESS",Filled,CA,,"$225,700","Washington, DC",JOSE,BAQUERO,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"SUPERINTENDENT, EMERGENCY MANAGEMENT INSTITUTE",Filled,CA,,"$213,396","EMMITSBURG, MD",JEFFREY,STERN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"SUPERINTENDENT, NATIONAL FIRE ACADEMY",Filled,CA,,"$216,995","EMMITSBURG, MD",ERIKS,GABLIKS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL LAW ENFORCEMENT TRAINING CENTER,ASSISTANT DIRECTOR (CHIEF INFORMATION OFFICER DIRECTORATE),Vacant,CA,,,"GLYNCO, GA",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL LAW ENFORCEMENT TRAINING CENTER,ASSISTANT DIRECTOR (CHIEF INFORMATION OFFICER DIRECTORATE),Filled,CA,,,"GLYNCO, GA",MICHAEL,VESTA,ES,,8/21/2016 12:00:00 AM,1/26/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,FEDERAL LAW ENFORCEMENT TRAINING CENTER,CHIEF COUNSEL,Filled,CA,,"$190,655","Washington, DC",THOMAS,HUSE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"ASSISTANT DIRECTOR, HUMAN CAPITAL OPERATIONS",Filled,CA,,"$201,532","Washington, DC",KERMIT,HOWARD,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF CREATIVE OFFICER,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF CREATIVE OFFICER,Filled,CA,,,"Washington, DC",ANGELICA,ALFONSO,ES,,4/22/2021 12:00:00 AM,4/5/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF DATA OFFICER,Filled,CA,,"$211,938","Washington, DC",MICHAEL,WEISSMAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF FINANCIAL OFFICER,Filled,PAS,,IV,"Washington, DC",STACY,MARCOTT,EX,,7/12/2023 12:00:00 AM,5/22/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF FINANCIAL OFFICER,Filled,PAS,,IV,"Washington, DC",JEFFREY,BOBICH,EX,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF HUMAN CAPITAL OFFICER,Filled,CA,,"$225,700","Washington, DC",BENJAMIN,EDWARDS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF INFORMATION OFFICER,Filled,PA,,,"Washington, DC",ANTOINE,MCCORD,OT,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"CHIEF LEARNING OFFICER (CLO) AND EXECUTIVE DIRECTOR, LEARNING, EDUCATION, AND DEVELOPMENT STRATEGY (LEADS)",Filled,CA,,"$208,977","Washington, DC",LAURIE,BOULDEN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF OF STAFF,Filled,CA,,"$221,112","Washington, DC",JANENE,CORRADO,ES,,2/28/2021 12:00:00 AM,4/5/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF OF STAFF,Filled,NA,,,"Washington, DC",GREYSON,MCGILL,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CHIEF READINESS SUPPORT OFFICER,Filled,CA,,"$225,700","Washington, DC",TRACEY,WATKINS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CUSTOMER EXPERIENCE ADVISOR FOR PROGRAM DEVELOPMENT,Vacant,TA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,CUSTOMER EXPERIENCE ADVISOR FOR PROGRAM DEVELOPMENT,Filled,TA,,,"Washington, DC",DANA,CHISNELL,ES,,9/24/2023 12:00:00 AM,3/28/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,DEPUTY CHIEF FINANCIAL OFFICER,Filled,CA,,"$225,700","Washington, DC",STACY,MARCOTT,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DEPUTY CHIEF HUMAN CAPITAL OFFICER, POLICIES, PROGRAMS AND OVERSIGHT",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DEPUTY CHIEF HUMAN CAPITAL OFFICER, POLICIES, PROGRAMS AND OVERSIGHT",Filled,CA,,,"Washington, DC",ROGER,BROWN,ES,,9/25/2022 12:00:00 AM,5/31/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,DEPUTY CHIEF INFORMATION OFFICER,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,DEPUTY CHIEF TECHNOLOGY OFFICER,Filled,CA,,"$225,700","Washington, DC",RUTH,SHEARER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DEPUTY DIRECTOR, OFFICE OF PROGRAM ANALYSIS AND EVALUATION",Vacant,TA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DEPUTY DIRECTOR, POLICY, INTERGOVERNMENTAL PROGRAMS AND COMMUNICATIONS",Filled,CA,,"$225,700","Washington, DC",DAVID,HESS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DEPUTY DIRECTOR, TECHNOLOGY AND INNOVATION (CHIEF TECHNOLOGY OFFICER)",Filled,CA,,"$225,551","Washington, DC",THOMAS,DORAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DEPUTY EXECUTIVE DIRECTOR, CHIEF TECHNOLOGY OFFICER",Filled,CA,,"$210,463","Washington, DC",CHRISTOPHER,KRAFT,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DEPUTY EXECUTIVE DIRECTOR, SOLUTIONS DEVELOPMENT DIRECTORATE",Filled,CA,,"$204,000","Washington, DC",CHRISTOPHER,HAMILTON,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,DEPUTY UNDER SECRETARY FOR MANAGEMENT,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,DEPUTY UNDER SECRETARY FOR MANAGEMENT,Filled,CA,,,"Washington, DC",RANDOLPH,ALLES,ES,,7/7/2019 12:00:00 AM,3/24/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DIRECTOR, FINANCIAL OPERATIONS",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DIRECTOR, FINANCIAL SYSTEMS MODERNIZATION",Filled,CA,,"$217,926","Washington, DC",ANDREW,CAMPEN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DIRECTOR, OFFICE OF BIOMETRIC IDENTITY MANAGEMENT",Filled,CA,,"$225,700","Washington, DC",SHONNIE,LYON,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DIRECTOR, OFFICE OF SELECTIVE ACQUISITIONS",Filled,CA,,"$201,532","Washington, DC",CATHY,SMITH,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"DIRECTOR, PROGRAM ANALYSIS AND EVALUATION",Filled,CA,,"$213,459","Washington, DC",GREGORY,TRY,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,EXECUTIVE DIRECTOR FUTURE OF WORK (FOW),Filled,TA,,"$199,959","Washington, DC",MARGARET,HARTIGAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, ARTIFICIAL INTELLIGENCE (AI) PROGRAMS",Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, BUSINESS MANAGEMENT DIRECTORATE",Filled,CA,,"$179,340","Washington, DC",ROBERT,DORR,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, CHIEF INFORMATION SECURITY OFFICER",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, CHIEF TECHNOLOGY OFFICER",Filled,CA,,"$190,320","Washington, DC",DAVID,LARRIMORE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, CYBERSECURITY AND INTELLIGENCE TALENT EXPERIENCE",Filled,CA,,"$204,236","Washington, DC",COANN,GLAZE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, HUMAN CAPITAL POLICY AND PROGRAMS",Filled,CA,,"$201,908","Washington, DC",JILL,DEMELLA,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, INFORMATION TECHNOLOGY OPERATIONS DIRECTORATE",Filled,CA,,"$170,289","Washington, DC",CHRISTOPHER,GRANGER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, OFFICE OF ACQUISITION WORKFORCE",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION",Filled,CA,,,"Washington, DC",EDNA,BULLOCK,ES,,1/19/2020 12:00:00 AM,2/18/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,MANAGEMENT DIRECTORATE,"EXECUTIVE DIRECTOR, SOLUTIONS DEVELOPMENT DIRECTORATE",Filled,CA,,"$204,236","Washington, DC",RESHEA,DELOATCH,ES,,,
